dataset,model,mrr@10,hit@10,ndcg@10,runtime_seconds,best_config,top10_item_share,top1_percent_item_share,item_popularity_gini,avg_session_length,p90_session_length,repeat_item_share_within_session,popularity_weighting_delta_mrr@10,explanation
adressa_recbole_sample,VS-KNN,0.1497,0.4237,0.2132,3081.12,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",0.396464,0.801654,0.9763259262493935,3.0118848978067456,7.0,0.089438,-0.0639,"VS-KNN relies mainly on overlap with similar historical sessions. The short sessions limit how much neighborhood evidence is available. Popular items are predictive in this dataset. Inverse popularity weighting strongly hurts, which indicates that down-weighting popular items removes useful signal."
adressa_recbole_sample,VSTAN,0.1619,0.4204,0.2221,2795.94,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",0.396464,0.801654,0.9763259262493935,3.0118848978067456,7.0,0.089438,-0.0652999999999999,"VSTAN can use recency and position effects in addition to session-neighborhood overlap. The short sessions limit how much neighborhood evidence is available. Popular items are predictive in this dataset. Inverse popularity weighting strongly hurts, which indicates that down-weighting popular items removes useful signal."
globo_recbole_sample,VS-KNN,0.0555,0.2375,0.0977,990.2,"{""vsknn_k"": 500, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}",0.08046616093232187,0.4948849897699795,0.8957445364313459,2.845511197108955,4.0,0.0,-0.0314,"VS-KNN relies mainly on overlap with similar historical sessions. The short sessions limit how much neighborhood evidence is available. Popular items are predictive in this dataset. Inverse popularity weighting strongly hurts, which indicates that down-weighting popular items removes useful signal."
globo_recbole_sample,VSTAN,0.0563,0.2361,0.0981,340.12,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",0.08046616093232187,0.4948849897699795,0.8957445364313459,2.845511197108955,4.0,0.0,-0.0285,"VSTAN can use recency and position effects in addition to session-neighborhood overlap. The short sessions limit how much neighborhood evidence is available. Popular items are predictive in this dataset. Inverse popularity weighting strongly hurts, which indicates that down-weighting popular items removes useful signal."
yoochoose_recbole_sample,VS-KNN,0.2554,0.4639,0.3053,263.49,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}",0.02538810155240621,0.2093568374273497,0.7795352826849896,3.952678345560334,7.0,0.20007080028320112,-0.0077,"VS-KNN relies mainly on overlap with similar historical sessions. The available session context gives the neighborhood method useful co-occurrence evidence. Popular items are predictive in this dataset. Inverse popularity weighting slightly hurts, so popularity still carries useful signal but is less dominant. Repeated items inside sessions may make simple popularity or repeat-aware signals unusually strong."
yoochoose_recbole_sample,VSTAN,0.2676,0.4915,0.3211,1799.55,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",0.02538810155240621,0.2093568374273497,0.7795352826849896,3.952678345560334,7.0,0.20007080028320112,-0.0075,"VSTAN can use recency and position effects in addition to session-neighborhood overlap. The available session context gives the neighborhood method useful co-occurrence evidence. Popular items are predictive in this dataset. Inverse popularity weighting slightly hurts, so popularity still carries useful signal but is less dominant. Repeated items inside sessions may make simple popularity or repeat-aware signals unusually strong."
