model,dataset,seed,device,neighbor_size,sample_size,sampling,similarity,session_weighting,score_weighting,reference_sessions,runtime_seconds,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,500,recent,vec,div,div,126496,134.9,0.4399,0.5387,0.3148,0.347,0.2733,0.2867
VSKNN-audited,globo_recbole_sample,42,cpu,100,500,recent,vec,div,div,175715,121.94,0.1627,0.2916,0.0796,0.1211,0.0526,0.0697
VSKNN-audited,adressa_recbole_sample,42,cpu,100,500,recent,vec,div,div,98032,147.53,0.2749,0.4276,0.1767,0.2259,0.1448,0.165
