model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,refinement_name,refinement_reason,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,recent_fraction,decay_half_life_days
DecayPop,globo_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.76,"{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:01:13,,0.25
DecayPop,globo_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",6.0,"{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:01:19,,0.5
DecayPop,globo_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.73,"{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:01:25,,1.0
DecayPop,globo_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.67,"{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:01:31,,3.0
DecayPop,globo_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.93,"{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:01:37,,7.0
DecayPop,globo_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.85,"{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:01:42,,14.0
DecayPop,globo_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 30, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",5.76,"{""decay_half_life_days"": 30, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:01:48,,30.0
MostPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.29,0.51,0.0,session_popularity_refined,baseline comparison anchor,0.0139,0.0215,0.0087,0.0112,0.007,0.008,"yoochoose_recbole_sample::MostPop::{""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""baseline comparison anchor""}",success,,7.85,"{""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""baseline comparison anchor""}",2026-06-24T12:01:56,,
RecentPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.26,0.61,0.0,session_popularity_refined,relative recent window,0.0005,0.0012,0.0004,0.0006,0.0004,0.0004,"yoochoose_recbole_sample::RecentPop::{""recent_fraction"": 0.01, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,8.01,"{""recent_fraction"": 0.01, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T12:02:04,0.01,
RecentPop,yoochoose_recbole_sample,cuda,1.0,2048.0,1024.0,1.29,0.5,0.0,session_popularity_refined,relative recent window,0.0034,0.0054,0.0022,0.0029,0.0018,0.0021,"yoochoose_recbole_sample::RecentPop::{""recent_fraction"": 0.05, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.53,"{""recent_fraction"": 0.05, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T12:02:12,0.05,
