model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,11.61,0.33,0.0,,,0.2101,0.3231,0.1339,0.1703,0.109,0.1239,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.71,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-23T13:46:45,,,,,256.0,0.001,0.2,1.0,CE,
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,11.05,0.25,0.0,,,0.0351,0.0639,0.0228,0.0319,0.0188,0.0224,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.28,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-23T13:47:03,,,,,256.0,0.0005,0.2,1.0,CE,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,262.15,363.46,0.0,100.0,100.0,0.1945,0.3187,0.1232,0.1629,0.0999,0.116,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 100}",success,,633.24,"{""vsknn_k"": 100, ""vsknn_sample_size"": 100}",2026-05-23T13:57:36,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,269.95,377.4,0.0,,,0.227,0.3696,0.1442,0.19,0.1173,0.136,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,654.55,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",2026-05-23T14:08:31,100.0,100.0,0.1,True,,,,,,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,10.0,0.23,0.0,,,0.3086,0.474,0.2009,0.2541,0.1655,0.1873,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,15.73,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-23T14:08:46,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,10.15,0.3,0.0,,,0.2762,0.452,0.1731,0.2295,0.1393,0.1623,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,16.29,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-23T14:09:03,,,,,128.0,0.0005,0.2,1.0,CE,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,11.74,0.21,0.0,,,0.3101,0.4746,0.2012,0.254,0.1655,0.1871,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.84,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-23T14:09:20,,,,,256.0,0.001,0.2,1.0,CE,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,11.44,0.29,0.0,,,0.2832,0.4524,0.1793,0.2336,0.1453,0.1675,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.57,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-23T14:09:38,,,,,256.0,0.0005,0.2,1.0,CE,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,96.74,147.36,0.0,100.0,250.0,0.3987,0.4952,0.2865,0.3179,0.2493,0.2624,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",success,,252.3,"{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",2026-05-27T14:32:54,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,109.47,153.01,0.0,100.0,500.0,0.3981,0.4947,0.2864,0.3177,0.2494,0.2624,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 500}",success,,270.81,"{""vsknn_k"": 100, ""vsknn_sample_size"": 500}",2026-05-27T14:37:25,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,163.94,250.4,0.0,200.0,100.0,0.3863,0.4795,0.2797,0.31,0.2445,0.257,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 100}",success,,422.32,"{""vsknn_k"": 200, ""vsknn_sample_size"": 100}",2026-05-27T14:44:27,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,228.58,346.34,0.0,200.0,250.0,0.3926,0.49,0.283,0.3147,0.2468,0.2599,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 250}",success,,582.68,"{""vsknn_k"": 200, ""vsknn_sample_size"": 250}",2026-05-27T14:54:10,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,179.41,271.47,0.0,200.0,500.0,0.3987,0.4987,0.2862,0.3187,0.249,0.2625,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 500}",success,,458.5,"{""vsknn_k"": 200, ""vsknn_sample_size"": 500}",2026-05-27T15:01:49,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,164.05,249.41,0.0,500.0,100.0,0.3863,0.4795,0.2797,0.31,0.2445,0.257,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 100}",success,,421.02,"{""vsknn_k"": 500, ""vsknn_sample_size"": 100}",2026-05-27T15:08:50,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,353.82,537.93,0.0,500.0,250.0,0.3912,0.4881,0.2822,0.3137,0.2461,0.2592,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 250}",success,,899.35,"{""vsknn_k"": 500, ""vsknn_sample_size"": 250}",2026-05-27T15:23:49,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,616.91,932.83,0.0,500.0,500.0,0.3928,0.4905,0.283,0.3147,0.2467,0.2598,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 500}",success,,1557.31,"{""vsknn_k"": 500, ""vsknn_sample_size"": 500}",2026-05-27T15:49:46,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,173.85,265.18,0.0,,,0.3997,0.495,0.2888,0.3198,0.2521,0.265,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,446.95,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",2026-05-27T15:57:13,100.0,100.0,0.05,True,,,,,,
