model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.48,263.11,0.0,,,0.3936,0.4882,0.2849,0.3157,0.249,0.2618,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,443.3,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",2026-05-27T17:41:03,200.0,100.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,174.5,266.02,0.0,,,0.4059,0.5019,0.2926,0.3239,0.2551,0.2681,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,448.27,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",2026-05-27T17:48:32,200.0,100.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.85,262.63,0.0,,,0.3993,0.4952,0.2885,0.3198,0.2519,0.2649,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,443.22,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",2026-05-27T17:55:55,200.0,100.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,174.45,266.31,0.0,,,0.4139,0.5094,0.298,0.3291,0.2596,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,448.32,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",2026-05-27T18:03:23,200.0,100.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.94,263.02,0.0,,,0.4078,0.5037,0.2943,0.3255,0.2567,0.2697,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,443.5,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",2026-05-27T18:10:47,200.0,100.0,0.2,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,251.53,381.08,0.0,,,0.4055,0.506,0.2918,0.3244,0.2541,0.2677,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,640.43,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",2026-05-27T18:21:27,200.0,250.0,0.05,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,248.12,375.39,0.0,,,0.3986,0.4987,0.2874,0.32,0.2507,0.2641,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,631.41,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",2026-05-27T18:31:59,200.0,250.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,254.54,383.83,0.0,,,0.4124,0.5146,0.2957,0.3289,0.257,0.2708,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,646.11,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-27T18:42:45,200.0,250.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,250.66,372.47,0.0,,,0.4052,0.5062,0.2916,0.3244,0.254,0.2676,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,630.95,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-27T18:53:16,200.0,250.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,253.7,382.91,0.0,,,0.4218,0.5247,0.3015,0.3349,0.2616,0.2756,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,644.01,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",2026-05-27T19:04:00,200.0,250.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,250.32,378.0,0.0,,,0.4148,0.5164,0.2976,0.3306,0.2587,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,635.72,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",2026-05-27T19:14:35,200.0,250.0,0.2,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,203.56,306.13,0.0,,,0.4074,0.5102,0.2921,0.3255,0.254,0.2678,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,517.08,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",2026-05-27T19:23:13,200.0,500.0,0.05,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,198.57,298.83,0.0,,,0.4015,0.5031,0.2885,0.3214,0.2511,0.2647,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,504.91,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",2026-05-27T19:31:37,200.0,500.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,207.06,309.62,0.0,,,0.4157,0.5204,0.2968,0.3309,0.2575,0.2716,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,523.87,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",2026-05-27T19:40:21,200.0,500.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,200.82,301.21,0.0,,,0.4083,0.5122,0.2928,0.3265,0.2546,0.2686,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,509.48,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",2026-05-27T19:48:51,200.0,500.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,213.93,319.72,0.0,,,0.4277,0.5334,0.304,0.3384,0.263,0.2773,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,541.25,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",2026-05-27T19:57:52,200.0,500.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,208.3,310.77,0.0,,,0.4197,0.5251,0.2997,0.334,0.26,0.2743,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,526.53,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",2026-05-27T20:06:39,200.0,500.0,0.2,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,170.23,259.1,0.0,,,0.3997,0.495,0.2888,0.3198,0.2521,0.265,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,436.7,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",2026-05-27T20:13:55,500.0,100.0,0.05,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,168.06,259.68,0.0,,,0.3936,0.4882,0.2849,0.3157,0.249,0.2618,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,434.99,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",2026-05-27T20:21:10,500.0,100.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,171.34,258.89,0.0,,,0.4059,0.5019,0.2926,0.3239,0.2551,0.2681,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,437.45,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",2026-05-27T20:28:28,500.0,100.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,167.94,255.8,0.0,,,0.3993,0.4952,0.2885,0.3198,0.2519,0.2649,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,431.24,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",2026-05-27T20:35:39,500.0,100.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,170.03,259.43,0.0,,,0.4139,0.5094,0.298,0.3291,0.2596,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,436.84,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",2026-05-27T20:42:56,500.0,100.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,168.06,259.8,0.0,,,0.4078,0.5037,0.2943,0.3255,0.2567,0.2697,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,435.09,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",2026-05-27T20:50:11,500.0,100.0,0.2,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,371.27,569.86,0.0,,,0.4056,0.5049,0.292,0.3243,0.2544,0.2678,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,948.61,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",2026-05-27T21:06:00,500.0,250.0,0.05,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,367.3,558.4,0.0,,,0.3989,0.4974,0.2876,0.3195,0.2507,0.264,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,933.12,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",2026-05-27T21:21:33,500.0,250.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,379.63,582.32,0.0,,,0.4119,0.5126,0.2956,0.3283,0.2571,0.2707,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,969.36,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-27T21:37:42,500.0,250.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,365.68,559.27,0.0,,,0.4052,0.5052,0.2917,0.3241,0.2541,0.2675,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,932.45,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-27T21:53:15,500.0,250.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,377.66,576.14,0.0,,,0.4213,0.5239,0.3015,0.3348,0.2618,0.2756,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,961.42,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",2026-05-27T22:09:16,500.0,250.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,367.83,566.27,0.0,,,0.4146,0.5156,0.2976,0.3304,0.2589,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,941.71,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",2026-05-27T22:24:58,500.0,250.0,0.2,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,651.23,985.22,0.0,,,0.4072,0.5083,0.2928,0.3256,0.2549,0.2686,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1643.89,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",2026-05-27T22:52:22,500.0,500.0,0.05,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,644.44,973.69,0.0,,,0.4007,0.4997,0.2886,0.3207,0.2515,0.2649,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,1625.37,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",2026-05-27T23:19:27,500.0,500.0,0.05,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,651.11,985.25,0.0,,,0.4136,0.5164,0.2967,0.33,0.2579,0.2718,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1643.76,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",2026-05-27T23:46:51,500.0,500.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,644.82,975.43,0.0,,,0.4071,0.5084,0.2927,0.3255,0.2548,0.2684,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1627.95,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",2026-05-28T00:13:59,500.0,500.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,652.31,985.92,0.0,,,0.4236,0.5276,0.3026,0.3364,0.2626,0.2766,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1645.69,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",2026-05-28T00:41:24,500.0,500.0,0.2,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,644.75,974.74,0.0,,,0.4166,0.5196,0.2985,0.3319,0.2594,0.2733,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1626.95,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",2026-05-28T01:08:31,500.0,500.0,0.2,False,,,,,,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,12.04,0.26,0.0,,,0.1984,0.2831,0.1326,0.16,0.111,0.1223,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.76,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:08:49,,,,,100.0,0.001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.47,0.26,0.0,,,0.3638,0.4649,0.2558,0.2886,0.2201,0.2338,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.19,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:09:18,,,,,100.0,0.001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.94,0.26,0.0,,,0.1997,0.2837,0.1334,0.1605,0.1116,0.1228,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.83,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:09:36,,,,,100.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.53,0.26,0.0,,,0.3594,0.4623,0.2521,0.2855,0.2167,0.2306,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.48,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:10:06,,,,,100.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.81,0.26,0.0,,,0.0406,0.0696,0.0266,0.0358,0.022,0.0258,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.76,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:10:23,,,,,100.0,0.0005,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.4,0.26,0.0,,,0.1978,0.2846,0.1317,0.1598,0.1101,0.1216,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.14,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:10:53,,,,,100.0,0.0005,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.72,0.25,0.0,,,0.0419,0.071,0.0267,0.0361,0.0217,0.0256,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.45,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:11:10,,,,,100.0,0.0005,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.5,0.26,0.0,,,0.1926,0.2768,0.1283,0.1556,0.1072,0.1185,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.47,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:11:40,,,,,100.0,0.0005,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.71,0.26,0.0,,,0.013,0.0218,0.0083,0.0111,0.0067,0.0079,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.56,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:11:57,,,,,100.0,0.0001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,23.46,0.26,0.0,,,0.0153,0.0258,0.0103,0.0137,0.0087,0.0101,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,29.38,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:12:27,,,,,100.0,0.0001,0.1,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,11.74,0.26,0.0,,,0.0129,0.0214,0.0082,0.011,0.0067,0.0078,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.71,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.0001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-28T01:12:44,,,,,100.0,0.0001,0.2,1.0,CE,
