scenario,dataset,model,implementation,device,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,runtime_seconds,config_json,result_source,run_id
Session-based,yoochoose_recbole_sample,DecayPop,existing,cuda,0.0139,0.0216,0.009,0.0115,0.0074,0.0084,,,8.91,"{""decay_lambda"": 5e-08}",session_full_tuning_results.csv,"yoochoose_recbole_sample::DecayPop::{""decay_lambda"": 5e-08}"
Session-based,yoochoose_recbole_sample,MostPop,existing,cuda,0.0139,0.0215,0.0087,0.0112,0.007,0.008,,,7.25,{},session_full_tuning_results.csv,yoochoose_recbole_sample::MostPop::{}
Session-based,yoochoose_recbole_sample,RecentPop,existing,cuda,0.0138,0.0212,0.0087,0.0111,0.007,0.008,,,7.26,"{""window_days"": 180}",session_full_tuning_results.csv,"yoochoose_recbole_sample::RecentPop::{""window_days"": 180}"
Top-N,amazon_recbole,BPR,existing,cuda,0.0625,0.0754,0.0532,0.0573,0.0502,0.0519,0.4662266245557267,875.0028730542084,12903.07,"{""embedding_size"": 128, ""epochs"": 50, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",topn_full_tuning_results.csv,"amazon_recbole::BPR::{""embedding_size"": 128, ""epochs"": 50, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}"
Top-N,amazon_recbole,DecayPop,existing,cuda,0.0163,0.026,0.0105,0.0136,0.0087,0.01,0.0001549040025473,3197.8703986068463,1670.23,"{""decay_lambda"": 5e-09}",topn_full_tuning_results.csv,"amazon_recbole::DecayPop::{""decay_lambda"": 5e-09}"
Top-N,amazon_recbole,MostPop,existing,cuda,0.0159,0.0236,0.01,0.0124,0.0081,0.0091,0.0001549040025473,3421.4669257370565,1662.26,{},topn_full_tuning_results.csv,
Top-N,amazon_recbole,RecentPop,existing,cuda,0.0059,0.0131,0.0033,0.0055,0.0025,0.0034,0.0001204808908701,818.4639594331145,1730.85,"{""window_days"": 180}",topn_full_tuning_results.csv,"amazon_recbole::RecentPop::{""window_days"": 180}"
Top-N,movielens_recbole,BPR,existing,cuda,0.2422,0.3546,0.0786,0.084,0.1398,0.1546,0.1837352776219854,26288.177535326697,5134.07,"{""embedding_size"": 32, ""epochs"": 50, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",topn_full_tuning_results.csv,"movielens_recbole::BPR::{""embedding_size"": 32, ""epochs"": 50, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}"
Top-N,movielens_recbole,DecayPop,existing,cuda,0.1734,0.251,0.0535,0.0558,0.0962,0.1065,0.0134230697326603,47055.27381239485,423.75,"{""decay_lambda"": 1e-09}",topn_full_tuning_results.csv,"movielens_recbole::DecayPop::{""decay_lambda"": 1e-09}"
Top-N,movielens_recbole,MostPop,existing,cuda,0.1697,0.2479,0.053,0.0555,0.0958,0.1062,0.0138717517292951,47378.196128324176,284.62,{},topn_full_tuning_results.csv,movielens_recbole::MostPop::{}
Top-N,movielens_recbole,RecentPop,existing,cuda,0.1203,0.1997,0.0355,0.0395,0.0674,0.0776,0.0051598429613011,31515.006039294403,339.24,"{""window_days"": 30}",topn_full_tuning_results.csv,"movielens_recbole::RecentPop::{""window_days"": 30}"
