experiment_type,dataset,model,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight,experiment_name,source_file,has_experiment_log,coverage@10,avg_recommendation_popularity@10,logged_at,embedding_size,runtime_minutes,mrr@10_per_minute,ndcg@10_per_minute,hit@10_per_minute,train_runtime_share,eval_runtime_share,extra_metrics_runtime_share,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,runtime_relative_to_dataset_fastest,quality_runtime_pareto_efficient
session,globo_recbole_sample,VS-KNN,cuda,1,2048,1024,313.45,669.35,0.0,500,500,0.1299,0.2375,0.0631,0.0977,0.0414,0.0555,"globo_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}",success,,990.2,"{""vsknn_k"": 500, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,0.0,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,16.503333333333334,0.0033629569783882045,0.005920016158351847,0.014391032114724298,0.31655221167440917,0.6759745505958392,0.0,86.0,0.37173476222371066,0.0938,147.7910447761194,False
session,globo_recbole_sample,VSTAN,cuda,1,2048,1024,107.87,224.54,0.0,,,0.1348,0.2361,0.0654,0.0981,0.0429,0.0563,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,340.12,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",200,500,0.2,False,,,,,,,,,,0.0,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,5.668666666666667,0.009931788780430436,0.017305656827002237,0.04165000588027755,0.31715276961072564,0.6601787604374926,0.0,82.0,0.3770931011386471,0.09299999999999999,50.76417910447761,False
session,yoochoose_recbole_sample,DecayPop,cuda,1,2048,1024,1.0,0.23,0.0,,,0.0139,0.0216,0.009,0.0115,0.0074,0.0084,"yoochoose_recbole_sample::DecayPop::{""decay_lambda"": 5e-08}",success,,8.91,"{""decay_lambda"": 5e-08}",,,,,,,,,,,,5e-08,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.1485,0.05656565656565656,0.07744107744107745,0.14545454545454548,0.1122334455667789,0.025813692480359147,0.0,282.0,0.030292102416155788,0.2689,1.35,True
session,yoochoose_recbole_sample,GRU4Rec,cuda,20,2048,2048,26.14,0.28,0.0,,,0.379,0.4818,0.2693,0.3027,0.2331,0.2469,"yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,32.13,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.001,0.1,1.0,CE,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.5355000000000001,0.46106442577030804,0.565266106442577,0.899719887955182,0.8135698723934017,0.008714596949891068,0.0,114.0,0.8903714388748648,0.030399999999999983,4.868181818181819,True
session,yoochoose_recbole_sample,MostPop,cuda,1,2048,1024,0.99,0.24,0.0,,,0.0139,0.0215,0.0087,0.0112,0.007,0.008,yoochoose_recbole_sample::MostPop::{},success,,7.25,{},,,,,,,,,,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.12083333333333333,0.06620689655172414,0.09268965517241379,0.1779310344827586,0.13655172413793104,0.03310344827586207,0.0,287.0,0.0288496213487198,0.2693,1.0984848484848486,True
session,yoochoose_recbole_sample,RecentPop,cuda,1,2048,1024,1.02,0.23,0.0,,,0.0138,0.0212,0.0087,0.0111,0.007,0.008,"yoochoose_recbole_sample::RecentPop::{""window_days"": 180}",success,,7.26,"{""window_days"": 180}",,,,,,,,,,,180.0,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.121,0.06611570247933884,0.09173553719008265,0.17520661157024794,0.14049586776859505,0.03168044077134986,0.0,287.0,0.0288496213487198,0.2693,1.1,False
session,yoochoose_recbole_sample,VS-KNN,cuda,1,2048,1024,103.09,152.57,0.0,100,500,0.3818,0.4639,0.2786,0.3053,0.2443,0.2554,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}",success,,263.49,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,0.0,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,4.3915,0.05815780485027895,0.06952066492086988,0.10563588750996243,0.39124824471516945,0.5790352575050286,0.0,88.0,0.9210241615578797,0.021899999999999975,39.92272727272728,False
session,yoochoose_recbole_sample,VSTAN,cuda,1,2048,1024,715.27,1076.26,0.0,,,0.4032,0.4915,0.2925,0.3211,0.2557,0.2676,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1799.55,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,True,,,,,,,,,,0.0,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,29.9925,0.00892223055763941,0.010706009835792282,0.016387430190881052,0.39747159011975214,0.5980717401572615,0.0,35.0,0.9650198341146773,0.009699999999999986,272.65909090909093,False
topn,amazon_recbole,BPR,cuda,50,2048,2048,11339.37,1250.51,287.52,,,0.0625,0.0754,0.0532,0.0573,0.0502,0.0519,"amazon_recbole::BPR::{""embedding_size"": 128, ""epochs"": 50, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",success,,12903.07,"{""embedding_size"": 128, ""epochs"": 50, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",,,,,,0.001,,,,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",,,,,topn,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\topn_full_tuning_results.csv,True,0.4662266245557267,875.0028730542084,2026-05-24T18:57:39,128.0,215.05116666666666,0.00024133791415531343,0.00026644821736222465,0.0003506142336668715,0.878811786652324,0.09691569525702023,0.022283069068058995,1.0,1.0,0.0,7.867245899640266,True
topn,amazon_recbole,DecayPop,cuda,1,2048,2048,208.93,1162.02,261.4,,,0.0163,0.026,0.0105,0.0136,0.0087,0.01,"amazon_recbole::DecayPop::{""decay_lambda"": 5e-09}",success,,1670.23,"{""decay_lambda"": 5e-09}",,,,,,,,,,,,5e-09,,,topn,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\topn_full_tuning_results.csv,True,0.0001549040025473,3197.8703986068463,2026-05-24T16:10:18,,27.83716666666667,0.0003592319620651048,0.0004885554684085425,0.0009340031013692724,0.12509055639043726,0.6957245409314885,0.15650539147303064,11.0,0.1926782273603083,0.0419,1.0183708310468875,True
topn,amazon_recbole,MostPop,cuda,1,2048,2048,202.91,1160.37,273.1,,,0.0159,0.0236,0.01,0.0124,0.0081,0.0091,amazon_recbole::MostPop::{},success,,1663.41,{},,,,,,,,,,,,,,,topn,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\topn_full_tuning_results.csv,True,0.0001549040025473,3421.4669257370565,2026-05-24T12:29:34,,27.7235,0.00032824138366367885,0.00044727397334391397,0.0008512633686222879,0.12198435743442686,0.69758508124876,0.16418080930137488,15.0,0.17533718689788055,0.042800000000000005,1.014212548015365,False
topn,amazon_recbole,RecentPop,cuda,1,2048,2048,244.54,1196.88,260.33,,,0.0059,0.0131,0.0033,0.0055,0.0025,0.0034,"amazon_recbole::RecentPop::{""window_days"": 180}",success,,1730.85,"{""window_days"": 180}",,,,,,,,,,,180.0,,,,topn,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\topn_full_tuning_results.csv,True,0.0001204808908701,818.4639594331145,2026-05-24T12:56:54,,28.8475,0.00011786116647889765,0.00019065776930409913,0.0004541121414333998,0.1412831845624982,0.6914983967414855,0.1504058699482913,18.0,0.06551059730250482,0.0485,1.0553319919517103,False
topn,movielens_recbole,BPR,cuda,50,2048,2048,4951.15,78.57,48.62,,,0.2422,0.3546,0.0786,0.084,0.1398,0.1546,"movielens_recbole::BPR::{""embedding_size"": 32, ""epochs"": 50, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",success,,5134.07,"{""embedding_size"": 32, ""epochs"": 50, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",,,,,,0.0005,,,,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",,,,,topn,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\topn_full_tuning_results.csv,True,0.1837352776219854,26288.177535326697,2026-05-23T15:51:14,32.0,85.56783333333333,0.0018067537061239912,0.0009816773047504224,0.004144080622196426,0.9643713467093359,0.01530364798298426,0.009470069554953477,1.0,1.0,0.0,18.038331810835498,True
topn,movielens_recbole,DecayPop,cuda,1,2048,2048,98.74,78.58,47.38,,,0.1734,0.251,0.0535,0.0558,0.0962,0.1065,"movielens_recbole::DecayPop::{""decay_lambda"": 1e-09}",success,,423.75,"{""decay_lambda"": 1e-09}",,,,,,,,,,,,1e-09,,,topn,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\topn_full_tuning_results.csv,True,0.0134230697326603,47055.27381239485,2026-05-23T15:03:11,,7.0625,0.015079646017699115,0.007900884955752212,0.03553982300884956,0.23301474926253687,0.1854395280235988,0.11181120943952803,11.0,0.6888745148771023,0.04809999999999999,1.4888272082074345,True
topn,movielens_recbole,MostPop,cuda,1,2048,2048,101.67,78.86,49.17,,,0.1697,0.2479,0.053,0.0555,0.0958,0.1062,movielens_recbole::MostPop::{},success,,284.62,{},,,,,,,,,,,,,,,topn,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\topn_full_tuning_results.csv,True,0.0138717517292951,47378.196128324176,2026-05-23T14:14:42,,4.743666666666667,0.02238774506359356,0.011699810273346918,0.0522591525542829,0.357213126273628,0.2770711826294709,0.17275665800014053,12.0,0.6869340232858991,0.048399999999999985,1.0,True
topn,movielens_recbole,RecentPop,cuda,1,2048,2048,97.98,76.6,46.85,,,0.1203,0.1997,0.0355,0.0395,0.0674,0.0776,"movielens_recbole::RecentPop::{""window_days"": 30}",success,,339.24,"{""window_days"": 30}",,,,,,,,,,,30.0,,,,topn,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\topn_full_tuning_results.csv,True,0.0051598429613011,31515.006039294403,2026-05-23T14:20:34,,5.654,0.013724796604174036,0.006986204457021578,0.035320127343473645,0.2888220728687655,0.22579884447588724,0.13810281806390756,19.0,0.5019404915912031,0.07699999999999999,1.1919049961351977,False
