model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,11.61,0.33,0.0,,,0.2101,0.3231,0.1339,0.1703,0.109,0.1239,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.71,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.001,0.2,1.0,CE,,,,,
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,11.05,0.25,0.0,,,0.0351,0.0639,0.0228,0.0319,0.0188,0.0224,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.28,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.0005,0.2,1.0,CE,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,262.15,363.46,0.0,100.0,100.0,0.1945,0.3187,0.1232,0.1629,0.0999,0.116,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 100}",success,,633.24,"{""vsknn_k"": 100, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,269.95,377.4,0.0,,,0.227,0.3696,0.1442,0.19,0.1173,0.136,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,654.55,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100.0,100.0,0.1,True,,,,,,,,,,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,10.0,0.23,0.0,,,0.3086,0.474,0.2009,0.2541,0.1655,0.1873,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,15.73,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,128.0,0.001,0.2,1.0,CE,,,,,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,10.15,0.3,0.0,,,0.2762,0.452,0.1731,0.2295,0.1393,0.1623,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,16.29,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,128.0,0.0005,0.2,1.0,CE,,,,,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,11.74,0.21,0.0,,,0.3101,0.4746,0.2012,0.254,0.1655,0.1871,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.84,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.001,0.2,1.0,CE,,,,,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,11.44,0.29,0.0,,,0.2832,0.4524,0.1793,0.2336,0.1453,0.1675,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,17.57,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.0005, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.0005,0.2,1.0,CE,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,96.74,147.36,0.0,100.0,250.0,0.3987,0.4952,0.2865,0.3179,0.2493,0.2624,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",success,,252.3,"{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,109.47,153.01,0.0,100.0,500.0,0.3981,0.4947,0.2864,0.3177,0.2494,0.2624,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_sample_size"": 500}",success,,270.81,"{""vsknn_k"": 100, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,163.94,250.4,0.0,200.0,100.0,0.3863,0.4795,0.2797,0.31,0.2445,0.257,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 100}",success,,422.32,"{""vsknn_k"": 200, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,228.58,346.34,0.0,200.0,250.0,0.3926,0.49,0.283,0.3147,0.2468,0.2599,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 250}",success,,582.68,"{""vsknn_k"": 200, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,179.41,271.47,0.0,200.0,500.0,0.3987,0.4987,0.2862,0.3187,0.249,0.2625,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_sample_size"": 500}",success,,458.5,"{""vsknn_k"": 200, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,164.05,249.41,0.0,500.0,100.0,0.3863,0.4795,0.2797,0.31,0.2445,0.257,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 100}",success,,421.02,"{""vsknn_k"": 500, ""vsknn_sample_size"": 100}",,,,,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,353.82,537.93,0.0,500.0,250.0,0.3912,0.4881,0.2822,0.3137,0.2461,0.2592,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 250}",success,,899.35,"{""vsknn_k"": 500, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,616.91,932.83,0.0,500.0,500.0,0.3928,0.4905,0.283,0.3147,0.2467,0.2598,"yoochoose_recbole_sample::VS-KNN::{""vsknn_k"": 500, ""vsknn_sample_size"": 500}",success,,1557.31,"{""vsknn_k"": 500, ""vsknn_sample_size"": 500}",,,,,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,173.85,265.18,0.0,,,0.3997,0.495,0.2888,0.3198,0.2521,0.265,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,446.95,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",100.0,100.0,0.05,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.15,262.2,0.0,,,0.3936,0.4882,0.2849,0.3157,0.249,0.2618,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,442.13,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",100.0,100.0,0.05,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,171.96,262.36,0.0,,,0.3993,0.4952,0.2885,0.3198,0.2519,0.2649,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,442.33,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100.0,100.0,0.1,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,173.89,265.55,0.0,,,0.4139,0.5094,0.298,0.3291,0.2596,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,447.19,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100.0,100.0,0.2,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.27,262.92,0.0,,,0.4078,0.5037,0.2943,0.3255,0.2567,0.2697,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,443.09,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100.0,100.0,0.2,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,114.46,170.72,0.0,,,0.4058,0.5044,0.2909,0.323,0.2529,0.2663,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,292.74,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100.0,250.0,0.05,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,111.16,166.75,0.0,,,0.3994,0.4985,0.2875,0.3197,0.2504,0.2638,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,285.74,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100.0,250.0,0.05,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,115.82,172.86,0.0,,,0.4133,0.5136,0.2953,0.3279,0.2562,0.2698,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,296.48,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100.0,250.0,0.1,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,112.69,168.03,0.0,,,0.4063,0.507,0.2916,0.3244,0.2537,0.2673,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,288.77,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100.0,250.0,0.1,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,119.65,178.03,0.0,,,0.4247,0.5252,0.3024,0.3351,0.2619,0.2755,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,305.48,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100.0,250.0,0.2,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,116.82,172.92,0.0,,,0.4172,0.5178,0.2983,0.3311,0.259,0.2726,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,297.47,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100.0,250.0,0.2,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,118.1,175.91,0.0,,,0.4029,0.5024,0.2899,0.3222,0.2525,0.2659,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,301.84,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100.0,500.0,0.05,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,114.81,170.46,0.0,,,0.4007,0.4996,0.2882,0.3203,0.251,0.2643,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,293.04,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100.0,500.0,0.05,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,118.74,177.1,0.0,,,0.4128,0.5138,0.2952,0.3281,0.2563,0.27,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,303.69,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100.0,500.0,0.1,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,114.85,171.21,0.0,,,0.4082,0.5093,0.2927,0.3255,0.2545,0.2681,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,293.97,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100.0,500.0,0.1,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,120.77,179.36,0.0,,,0.427,0.5276,0.3035,0.3362,0.2626,0.2762,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,308.06,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100.0,500.0,0.2,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,116.25,172.58,0.0,,,0.4204,0.521,0.3001,0.3329,0.2603,0.274,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,296.72,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100.0,500.0,0.2,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,174.34,265.73,0.0,,,0.3997,0.495,0.2888,0.3198,0.2521,0.265,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,448.09,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",200.0,100.0,0.05,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.48,263.11,0.0,,,0.3936,0.4882,0.2849,0.3157,0.249,0.2618,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,443.3,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",200.0,100.0,0.05,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,174.5,266.02,0.0,,,0.4059,0.5019,0.2926,0.3239,0.2551,0.2681,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,448.27,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",200.0,100.0,0.1,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.85,262.63,0.0,,,0.3993,0.4952,0.2885,0.3198,0.2519,0.2649,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,443.22,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",200.0,100.0,0.1,False,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,174.45,266.31,0.0,,,0.4139,0.5094,0.298,0.3291,0.2596,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,448.32,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",200.0,100.0,0.2,True,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,172.94,263.02,0.0,,,0.4078,0.5037,0.2943,0.3255,0.2567,0.2697,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,443.5,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",200.0,100.0,0.2,False,,,,,,,,,,
