model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,experiment_type,experiment_name,source_file,has_experiment_log,coverage@10,avg_recommendation_popularity@10,logged_at,window_days,decay_lambda,embedding_size,runtime_minutes,mrr@10_per_minute,ndcg@10_per_minute,hit@10_per_minute,train_runtime_share,eval_runtime_share,extra_metrics_runtime_share,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,runtime_relative_to_dataset_fastest,quality_runtime_pareto_efficient
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,367.83,566.27,0.0,,,0.4146,0.5156,0.2976,0.3304,0.2589,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,941.71,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",500.0,250.0,0.2,False,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,15.695166666666667,0.017362032897601173,0.021051066676577718,0.032850877658727205,0.3905979547843816,0.6013210011574688,0.0,11.0,0.9826902271907683,0.004799999999999971,53.96618911174785,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,250.32,378.0,0.0,,,0.4148,0.5164,0.2976,0.3306,0.2587,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,635.72,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",200.0,250.0,0.2,False,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,10.595333333333334,0.025718869942742088,0.031202416158057005,0.04873843830617252,0.39375825835273387,0.5946013968413767,0.0,11.0,0.9826902271907683,0.004799999999999971,36.43094555873926,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,173.89,265.55,0.0,,,0.4139,0.5094,0.298,0.3291,0.2596,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,447.19,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100.0,100.0,0.2,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,7.453166666666666,0.03656164046602116,0.04415572799033968,0.0683467877188667,0.3888503767973344,0.5938191820031754,0.0,11.0,0.9826902271907683,0.004799999999999971,25.626934097421206,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,174.45,266.31,0.0,,,0.4139,0.5094,0.298,0.3291,0.2596,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,448.32,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",200.0,100.0,0.2,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,7.4719999999999995,0.036469486081370454,0.04404443254817988,0.0681745182012848,0.3891193790149893,0.5940176659528908,0.0,11.0,0.9826902271907683,0.004799999999999971,25.69169054441261,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,170.03,259.43,0.0,,,0.4139,0.5094,0.298,0.3291,0.2596,0.2725,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,436.84,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",500.0,100.0,0.2,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,7.280666666666666,0.03742789121875287,0.045201904587491994,0.06996612031865214,0.3892271769984434,0.5938787656807986,0.0,11.0,0.9826902271907683,0.004799999999999971,25.033810888252148,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,651.11,985.25,0.0,,,0.4136,0.5164,0.2967,0.33,0.2579,0.2718,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1643.76,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500.0,500.0,0.1,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,27.396,0.009921156373193166,0.012045554095488393,0.01884946707548547,0.3961101377330024,0.5993879885141383,0.0,16.0,0.9801658853227552,0.005500000000000005,94.19828080229227,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,207.06,309.62,0.0,,,0.4157,0.5204,0.2968,0.3309,0.2575,0.2716,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,523.87,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",200.0,500.0,0.1,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,8.731166666666667,0.031106954015309142,0.03789871533013916,0.05960257315746272,0.3952507301429744,0.5910244908087885,0.0,17.0,0.9794446447890373,0.005699999999999983,30.021203438395418,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,254.54,383.83,0.0,,,0.4124,0.5146,0.2957,0.3289,0.257,0.2708,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,646.11,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",200.0,250.0,0.1,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,10.7685,0.025147420717834424,0.0305427868319636,0.047787528439429815,0.39395768522387825,0.5940629304607574,0.0,18.0,0.9765596826541652,0.006500000000000006,37.026361031518626,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,379.63,582.32,0.0,,,0.4119,0.5126,0.2956,0.3283,0.2571,0.2707,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,969.36,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",500.0,250.0,0.1,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,16.156,0.01675538499628621,0.020320623916811092,0.03172815053230998,0.3916295287612445,0.6007262523726996,0.0,19.0,0.9761990623873061,0.006599999999999995,55.55071633237823,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,118.74,177.1,0.0,,,0.4128,0.5138,0.2952,0.3281,0.2563,0.27,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,303.69,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100.0,500.0,0.1,True,,,,,,,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,,,5.0615,0.053343870394151935,0.06482268102341204,0.10151140966116765,0.39099081300009875,0.5831604596792782,0.0,20.0,0.9736747205192933,0.007299999999999973,17.403438395415474,False
