protocol_version,evaluated_split,final_test_id,selected_validation_run_id,scenario,dataset,model,device,selection_valid_mrr@10,refit_best_valid_score,refit_valid_hit@5,refit_valid_hit@10,refit_valid_ndcg@5,refit_valid_ndcg@10,refit_valid_mrr@5,refit_valid_mrr@10,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,unique_recommended_items@10,catalogue_size,recommendation_count,extra_metrics_runtime_seconds,runtime_seconds,config_json,status,error,seed,recommendation_frequency_gini@10,data_preparation_runtime_seconds,training_runtime_seconds,evaluation_runtime_seconds,checkpoint_path,source_file,execution_host,result_policy
validation_first_v6,test,validation_first_v6::test::session::globo_recbole_sample::VS-KNN::seed=42,"validation_first_v6::session::globo_recbole_sample::VS-KNN::{""neighbor_size"":1500,""sample_size"":2500,""sampling"":""recent"",""score_weighting"":""div"",""session_weighting"":""log"",""similarity"":""vec""}",session,globo_recbole_sample,VS-KNN,cpu,0.0822,0.0822,0.1996,0.3541,0.0953,0.1452,0.0616,0.0822,0.2125,0.3741,0.1015,0.1538,0.0656,0.0872,0.4650460756275818,560.4206700091157,8781.0,18882.0,702080.0,195.48,492.9,"{""neighbor_size"":1500,""sample_size"":2500,""sampling"":""recent"",""score_weighting"":""div"",""session_weighting"":""log"",""similarity"":""vec""}",success,,42.0,0.971524284895774,5.0,93.72,197.35,recbole_results\validation_first_workers\final_pc2\checkpoints\session\globo_recbole_sample\VS-KNN\seed_42\VSKNN-Sep-01-2026_18-10-15.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v7_vstan_collapsed,test,validation_first_v7_vstan_collapsed::test::session::globo_recbole_sample::VSTAN::seed=42,"validation_first_v7_vstan_collapsed::session::globo_recbole_sample::VSTAN::{""vstan_idf_weighting"":true,""vstan_k"":1500,""vstan_popularity_weight"":0.0,""vstan_position_decay"":0.05,""vstan_sample_size"":2500}",session,globo_recbole_sample,VSTAN,cpu,0.069,0.069,0.1713,0.3305,0.0775,0.1292,0.0475,0.069,0.1885,0.3582,0.0855,0.1404,0.0525,0.0752,0.5179536066094693,515.8340887078396,9780.0,18882.0,702080.0,1174.51,2906.24,"{""vstan_idf_weighting"":true,""vstan_k"":1500,""vstan_popularity_weight"":0.0,""vstan_position_decay"":0.05,""vstan_sample_size"":2500}",success,,42.0,0.9652691176873848,5.68,550.81,1174.09,recbole_results\validation_first_workers\vstan_collapsed_v7\checkpoints\session\globo_recbole_sample\VSTAN\seed_42\VSTANRecBole-Sep-03-2026_04-26-41.pth,recbole_results\validation_first_workers\vstan_collapsed_v7\final_test_results.csv,pc1_vstan,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::yoochoose_recbole_sample::DecayPop::seed=42,"validation_first_v6::session::yoochoose_recbole_sample::DecayPop::{""decay_half_life_days"":90.0}",session,yoochoose_recbole_sample,DecayPop,cpu,0.0064,0.0064,0.0109,0.0175,0.0069,0.009,0.0056,0.0064,0.0139,0.0209,0.0088,0.011,0.0072,0.0081,0.0004500652594626,506.7,10.0,22219.0,714750.0,0.64,11.71,"{""decay_half_life_days"":90.0}",success,,42.0,0.9995499347405372,5.08,1.65,2.02,recbole_results\validation_first_workers\final_pc2\checkpoints\session\yoochoose_recbole_sample\DecayPop\seed_42\SessionDecayPopRecBole-Sep-01-2026_19-03-56.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::yoochoose_recbole_sample::GRU4Rec::seed=42,"validation_first_v6::session::yoochoose_recbole_sample::GRU4Rec::{""dropout_prob"":0.4,""epochs"":20,""eval_batch_size"":1024,""hidden_size"":256,""learning_rate"":0.003,""loss_type"":""CE"",""num_layers"":1,""train_batch_size"":2048,""train_neg_sample_args"":null}",session,yoochoose_recbole_sample,GRU4Rec,cpu,0.2417,0.2417,0.3874,0.502,0.2662,0.3034,0.2263,0.2417,0.4032,0.5083,0.2868,0.321,0.2483,0.2625,0.7371618884738287,95.7406939489332,16379.0,22219.0,714750.0,2.57,1204.82,"{""dropout_prob"":0.4,""epochs"":20,""eval_batch_size"":1024,""hidden_size"":256,""learning_rate"":0.003,""loss_type"":""CE"",""num_layers"":1,""train_batch_size"":2048,""train_neg_sample_args"":null}",success,,42.0,0.8302413929348192,5.38,1192.87,3.98,recbole_results\validation_first_workers\final_pc2\checkpoints\session\yoochoose_recbole_sample\GRU4Rec\seed_42\GRU4Rec-Sep-01-2026_19-04-05.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::yoochoose_recbole_sample::MostPop::seed=42,validation_first_v6::session::yoochoose_recbole_sample::MostPop::{},session,yoochoose_recbole_sample,MostPop,cpu,0.0064,0.0064,0.0119,0.0195,0.007,0.0094,0.0054,0.0064,0.0139,0.0215,0.0087,0.0112,0.007,0.008,0.0004500652594626,602.8,10.0,22219.0,714750.0,0.65,9.66,{},success,,42.0,0.9995499347405372,5.3,1.66,2.04,recbole_results\validation_first_workers\final_pc2\checkpoints\session\yoochoose_recbole_sample\MostPop\seed_42\SessionMostPopRecBole-Sep-01-2026_19-24-08.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::yoochoose_recbole_sample::RecentPop::seed=42,"validation_first_v6::session::yoochoose_recbole_sample::RecentPop::{""recent_fraction"":0.75}",session,yoochoose_recbole_sample,RecentPop,cpu,0.0061,0.0061,0.0088,0.0164,0.006,0.0084,0.0051,0.0061,0.0108,0.0199,0.0074,0.0104,0.0063,0.0075,0.0004500652594626,488.3,10.0,22219.0,714750.0,0.72,9.91,"{""recent_fraction"":0.75}",success,,42.0,0.9995499347405372,5.27,1.81,2.09,recbole_results\validation_first_workers\final_pc2\checkpoints\session\yoochoose_recbole_sample\RecentPop\seed_42\SessionRecentPopRecBole-Sep-01-2026_19-24-17.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::yoochoose_recbole_sample::VS-KNN::seed=42,"validation_first_v6::session::yoochoose_recbole_sample::VS-KNN::{""neighbor_size"":100,""sample_size"":1000,""sampling"":""recent"",""score_weighting"":""quadratic"",""session_weighting"":""quadratic"",""similarity"":""vec""}",session,yoochoose_recbole_sample,VS-KNN,cpu,0.2457,0.2457,0.4047,0.5154,0.274,0.31,0.2308,0.2457,0.4424,0.5403,0.3165,0.3483,0.2746,0.2879,0.7344164903911067,109.220314795383,16318.0,22219.0,714750.0,55.94,158.42,"{""neighbor_size"":100,""sample_size"":1000,""sampling"":""recent"",""score_weighting"":""quadratic"",""session_weighting"":""quadratic"",""similarity"":""vec""}",success,,42.0,0.8566886594778699,5.29,38.89,57.09,recbole_results\validation_first_workers\final_pc2\checkpoints\session\yoochoose_recbole_sample\VS-KNN\seed_42\VSKNN-Sep-01-2026_19-24-28.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v7_vstan_collapsed,test,validation_first_v7_vstan_collapsed::test::session::yoochoose_recbole_sample::VSTAN::seed=42,"validation_first_v7_vstan_collapsed::session::yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"":true,""vstan_k"":100,""vstan_popularity_weight"":0.0,""vstan_position_decay"":0.5,""vstan_sample_size"":1000}",session,yoochoose_recbole_sample,VSTAN,cpu,0.2412,0.2412,0.4004,0.5016,0.2704,0.3034,0.2274,0.2412,0.4432,0.5344,0.3159,0.3457,0.2737,0.2861,0.7798730815968316,90.41769010143406,17328.0,22219.0,714750.0,152.67,421.33,"{""vstan_idf_weighting"":true,""vstan_k"":100,""vstan_popularity_weight"":0.0,""vstan_position_decay"":0.5,""vstan_sample_size"":1000}",success,,42.0,0.8157842272229159,5.7,106.06,155.82,recbole_results\validation_first_workers\vstan_collapsed_v7\checkpoints\session\yoochoose_recbole_sample\VSTAN\seed_42\VSTANRecBole-Sep-03-2026_05-15-09.pth,recbole_results\validation_first_workers\vstan_collapsed_v7\final_test_results.csv,pc1_vstan,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::topn::amazon_recbole::BPR::seed=42,"validation_first_v6::topn::amazon_recbole::BPR::{""embedding_size"":256,""epochs"":50,""eval_batch_size"":2048,""learning_rate"":0.001,""train_batch_size"":2048,""train_neg_sample_args"":{""alpha"":1.0,""candidate_num"":0,""distribution"":""uniform"",""dynamic"":false,""sample_num"":1}}",topn,amazon_recbole,BPR,cpu,0.0438,0.0438,0.0594,0.0786,0.0454,0.0515,0.0413,0.0438,0.0667,0.0806,0.0566,0.0611,0.0534,0.0552,0.5157314974182444,918.5079747380358,59928.0,116200.0,7689030.0,5490.51,168626.23,"{""embedding_size"":256,""epochs"":50,""eval_batch_size"":2048,""learning_rate"":0.001,""train_batch_size"":2048,""train_neg_sample_args"":{""alpha"":1.0,""candidate_num"":0,""distribution"":""uniform"",""dynamic"":false,""sample_num"":1}}",success,,42.0,0.9731864845121694,22.66,156206.55,6904.69,recbole_results\validation_first_workers\final_pc2\checkpoints\topn\amazon_recbole\BPR\seed_42\BPR-Sep-01-2026_19-35-40.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::topn::amazon_recbole::DecayPop::seed=42,"validation_first_v6::topn::amazon_recbole::DecayPop::{""decay_lambda"":1e-09}",topn,amazon_recbole,DecayPop,cpu,0.0095,0.0095,0.0155,0.0246,0.01,0.0129,0.0083,0.0095,0.0159,0.0254,0.0104,0.0134,0.0086,0.0098,0.0001549053356282,3413.448762067517,18.0,116200.0,7689030.0,599.53,2932.28,"{""decay_lambda"":1e-09}",success,,42.0,0.9999135015593656,30.21,384.74,1904.3,recbole_results\validation_first_workers\final_pc2\checkpoints\topn\amazon_recbole\DecayPop\seed_42\DecayPopRecBole-Sep-03-2026_18-26-26.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::topn::amazon_recbole::MostPop::seed=42,validation_first_v6::topn::amazon_recbole::MostPop::{},topn,amazon_recbole,MostPop,cpu,0.0093,0.0093,0.0155,0.0245,0.0098,0.0126,0.0081,0.0093,0.0159,0.0236,0.01,0.0124,0.0081,0.0091,0.0001549053356282,3421.4669257370565,18.0,116200.0,7689030.0,619.96,2384.91,{},success,,42.0,0.9999134968697596,24.13,313.23,1427.57,recbole_results\validation_first_workers\final_pc2\checkpoints\topn\amazon_recbole\MostPop\seed_42\MostPopRecBole-Sep-03-2026_19-14-59.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::topn::amazon_recbole::RecentPop::seed=42,"validation_first_v6::topn::amazon_recbole::RecentPop::{""window_days"":180}",topn,amazon_recbole,RecentPop,cpu,0.0022,0.0022,0.004,0.0084,0.0022,0.0036,0.0017,0.0022,0.0059,0.0124,0.0033,0.0054,0.0025,0.0033,0.0001204819277108,777.7428112518744,14.0,116200.0,7689030.0,541.77,2195.79,"{""window_days"":180}",success,,42.0,0.9999138637894432,23.91,279.22,1344.68,recbole_results\validation_first_workers\final_pc2\checkpoints\topn\amazon_recbole\RecentPop\seed_42\RecentPopRecBole-Sep-03-2026_19-54-50.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::topn::movielens_recbole::BPR::seed=42,"validation_first_v6::topn::movielens_recbole::BPR::{""embedding_size"":32,""epochs"":50,""eval_batch_size"":2048,""learning_rate"":0.0005,""train_batch_size"":2048,""train_neg_sample_args"":{""alpha"":1.0,""candidate_num"":0,""distribution"":""uniform"",""dynamic"":false,""sample_num"":1}}",topn,movielens_recbole,BPR,cpu,0.1658,0.1658,0.2665,0.3887,0.0849,0.0929,0.1496,0.1658,0.246,0.3552,0.0802,0.0851,0.1424,0.1569,0.1643359258151361,27400.402873791456,4395.0,26744.0,1384930.0,28.0,8118.36,"{""embedding_size"":32,""epochs"":50,""eval_batch_size"":2048,""learning_rate"":0.0005,""train_batch_size"":2048,""train_neg_sample_args"":{""alpha"":1.0,""candidate_num"":0,""distribution"":""uniform"",""dynamic"":false,""sample_num"":1}}",success,,42.0,0.9876934637703996,43.88,7997.76,48.09,recbole_results\validation_first_workers\final_pc2\checkpoints\topn\movielens_recbole\BPR\seed_42\BPR-Sep-03-2026_22-02-54.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::topn::movielens_recbole::DecayPop::seed=42,"validation_first_v6::topn::movielens_recbole::DecayPop::{""decay_lambda"":1e-09}",topn,movielens_recbole,DecayPop,cpu,0.1095,0.1095,0.1801,0.2611,0.0558,0.0593,0.0988,0.1095,0.1734,0.251,0.0535,0.0558,0.0962,0.1065,0.0134235716422375,47055.27381239485,359.0,26744.0,1384930.0,33.92,456.35,"{""decay_lambda"":1e-09}",success,,42.0,0.9991571574239202,47.57,71.01,50.93,recbole_results\validation_first_workers\final_pc2\checkpoints\topn\movielens_recbole\DecayPop\seed_42\DecayPopRecBole-Sep-04-2026_00-22-29.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::topn::movielens_recbole::MostPop::seed=42,validation_first_v6::topn::movielens_recbole::MostPop::{},topn,movielens_recbole,MostPop,cpu,0.1094,0.1094,0.1771,0.2577,0.0555,0.059,0.0987,0.1094,0.1697,0.2479,0.053,0.0555,0.0958,0.1062,0.0138722704157941,47378.196128324176,371.0,26744.0,1384930.0,24.01,175.75,{},success,,42.0,0.9991592731104708,52.3,59.63,39.77,recbole_results\validation_first_workers\final_pc2\checkpoints\topn\movielens_recbole\MostPop\seed_42\MostPopRecBole-Sep-04-2026_00-25-58.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::topn::movielens_recbole::RecentPop::seed=42,"validation_first_v6::topn::movielens_recbole::RecentPop::{""window_days"":30}",topn,movielens_recbole,RecentPop,cpu,0.0735,0.0735,0.1142,0.1963,0.0328,0.0381,0.063,0.0735,0.1201,0.1994,0.0355,0.0395,0.0674,0.0775,0.0051226443314388,31505.471049078293,137.0,26744.0,1384930.0,33.34,293.57,"{""window_days"":30}",success,,42.0,0.9994284742313548,47.8,70.85,50.63,recbole_results\validation_first_workers\final_pc2\checkpoints\topn\movielens_recbole\RecentPop\seed_42\RecentPopRecBole-Sep-04-2026_00-30-20.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
