dataset,model,prefix_group,query_count,query_share,final_test_id,hit@5,mrr@5,ndcg@5,hit@10,mrr@10,ndcg@10
globo_recbole_sample,DecayPop,2,37530,0.5345544667274384,validation_first_v6::test::session::globo_recbole_sample::DecayPop::seed=42,0.0411404209965361,0.0216617816857625,0.0264211564491048,0.0709832134292565,0.0255455635491606,0.0359699430785198
globo_recbole_sample,DecayPop,3,15553,0.2215274612579763,validation_first_v6::test::session::globo_recbole_sample::DecayPop::seed=42,0.0367774705844531,0.0206723247390642,0.0246166507414066,0.0628174628688998,0.02395345051585,0.032839838554784
globo_recbole_sample,DecayPop,4+,17125,0.2439180720145852,validation_first_v6::test::session::globo_recbole_sample::DecayPop::seed=42,0.0235328467153284,0.0125644768856447,0.0152456291543712,0.0412262773722627,0.0148068126520681,0.0208455651214383
globo_recbole_sample,GRU4Rec,1,0,0.0,validation_first_v6::test::session::globo_recbole_sample::GRU4Rec::seed=42,,,,,,
globo_recbole_sample,GRU4Rec,2,37530,0.5345544667274384,validation_first_v6::test::session::globo_recbole_sample::GRU4Rec::seed=42,0.3081801225686117,0.1805133670841104,0.2120807908024347,0.4294697575273115,0.1966078777189888,0.2512097561601211
globo_recbole_sample,GRU4Rec,3,15553,0.2215274612579763,validation_first_v6::test::session::globo_recbole_sample::GRU4Rec::seed=42,0.2573779978139265,0.1503279110139523,0.1767885946437816,0.3665530765768662,0.1647804384189647,0.211976693708831
globo_recbole_sample,GRU4Rec,4+,17125,0.2439180720145852,validation_first_v6::test::session::globo_recbole_sample::GRU4Rec::seed=42,0.1790364963503649,0.102712408759124,0.1215484274525169,0.2665109489051095,0.1142873363457305,0.1497354831031717
globo_recbole_sample,MostPop,1,0,0.0,validation_first_v6::test::session::globo_recbole_sample::MostPop::seed=42,,,,,,
globo_recbole_sample,MostPop,2,37530,0.5345544667274384,validation_first_v6::test::session::globo_recbole_sample::MostPop::seed=42,0.040314415134559,0.0214139799271693,0.026032895255309,0.0706634692246203,0.0254278059034254,0.0358093594906186
globo_recbole_sample,MostPop,3,15553,0.2215274612579763,validation_first_v6::test::session::globo_recbole_sample::MostPop::seed=42,0.03465569343535,0.019854690413425,0.0234783546540226,0.0635890181958464,0.0236369699511858,0.0327551357840683
globo_recbole_sample,MostPop,4+,17125,0.2439180720145852,validation_first_v6::test::session::globo_recbole_sample::MostPop::seed=42,0.0221897810218978,0.0119727493917274,0.014465108530965,0.0440291970802919,0.014797404703974,0.0214364714858947
globo_recbole_sample,RecentPop,1,0,0.0,validation_first_v6::test::session::globo_recbole_sample::RecentPop::seed=42,,,,,,
globo_recbole_sample,RecentPop,2,37530,0.5345544667274384,validation_first_v6::test::session::globo_recbole_sample::RecentPop::seed=42,0.0326938449240607,0.0153654853894662,0.0196345338885771,0.060884625632827,0.0190494588456219,0.028674481445245
globo_recbole_sample,RecentPop,3,15553,0.2215274612579763,validation_first_v6::test::session::globo_recbole_sample::RecentPop::seed=42,0.0291905098694785,0.0139640798131121,0.0177047427215563,0.0552947984311708,0.0173301940420824,0.0260319438083011
globo_recbole_sample,RecentPop,4+,17125,0.2439180720145852,validation_first_v6::test::session::globo_recbole_sample::RecentPop::seed=42,0.0204963503649635,0.0094384428223844,0.0121522185959046,0.0375474452554744,0.0115727957362993,0.017525595819768
globo_recbole_sample,VS-KNN,1,0,0.0,validation_first_v6::test::session::globo_recbole_sample::VS-KNN::seed=42,,,,,,
globo_recbole_sample,VS-KNN,2,37530,0.5345544667274384,validation_first_v6::test::session::globo_recbole_sample::VS-KNN::seed=42,0.2611244337863043,0.0815116795452526,0.1254795205575067,0.4324540367705835,0.1044883458312714,0.1809948689974377
globo_recbole_sample,VS-KNN,3,15553,0.2215274612579763,validation_first_v6::test::session::globo_recbole_sample::VS-KNN::seed=42,0.1952677939947277,0.0588332368889174,0.0920809258027226,0.363016781328361,0.0813280549151442,0.1464356194512334
globo_recbole_sample,VS-KNN,4+,17125,0.2439180720145852,validation_first_v6::test::session::globo_recbole_sample::VS-KNN::seed=42,0.1215766423357664,0.0367970802919708,0.0574450684837785,0.2564671532846715,0.0546292665971498,0.100895468454591
globo_recbole_sample,VSTAN,1,0,0.0,validation_first_v7_vstan_collapsed::test::session::globo_recbole_sample::VSTAN::seed=42,,,,,,
globo_recbole_sample,VSTAN,2,37530,0.5345544667274384,validation_first_v7_vstan_collapsed::test::session::globo_recbole_sample::VSTAN::seed=42,0.247322142286171,0.0708624211741717,0.1137830998769753,0.4253930189181987,0.0948552797973261,0.1715936178974107
globo_recbole_sample,VSTAN,3,15553,0.2215274612579763,validation_first_v7_vstan_collapsed::test::session::globo_recbole_sample::VSTAN::seed=42,0.1658200990162669,0.0433817698621916,0.0728386031009301,0.3450781199768533,0.0673301940420824,0.1308329970909713
globo_recbole_sample,VSTAN,4+,17125,0.2439180720145852,validation_first_v7_vstan_collapsed::test::session::globo_recbole_sample::VSTAN::seed=42,0.0803503649635036,0.0207143552311435,0.0350131318025232,0.2227153284671532,0.0393721700845788,0.0807094913421278
yoochoose_recbole_sample,DecayPop,1,0,0.0,validation_first_v6::test::session::yoochoose_recbole_sample::DecayPop::seed=42,,,,,,
yoochoose_recbole_sample,DecayPop,2,25438,0.3559006645680307,validation_first_v6::test::session::yoochoose_recbole_sample::DecayPop::seed=42,0.0161569305763031,0.0082343999790339,0.0101753983948935,0.023311581099143,0.0091301508679054,0.0124293265587918
yoochoose_recbole_sample,DecayPop,3,14679,0.2053725078698845,validation_first_v6::test::session::yoochoose_recbole_sample::DecayPop::seed=42,0.0147830233667143,0.0079206122124577,0.009605323281138,0.0225492199741126,0.0088857367776231,0.0120445617109164
yoochoose_recbole_sample,DecayPop,4+,31358,0.4387268275620846,validation_first_v6::test::session::yoochoose_recbole_sample::DecayPop::seed=42,0.0117035525224823,0.005978803920318,0.0073741238532157,0.0181134000892914,0.0068011934880038,0.0094135577777797
yoochoose_recbole_sample,GRU4Rec,1,0,0.0,validation_first_v6::test::session::yoochoose_recbole_sample::GRU4Rec::seed=42,,,,,,
yoochoose_recbole_sample,GRU4Rec,2,25438,0.3559006645680307,validation_first_v6::test::session::yoochoose_recbole_sample::GRU4Rec::seed=42,0.441937259218492,0.2741456351390308,0.3158897347425392,0.5453652016667977,0.2881854980113491,0.34957315583207
