experiment_type,dataset,model,mrr@10,hit@10,ndcg@10,coverage@10,avg_recommendation_popularity@10,runtime_seconds,runtime_minutes,mrr@10_per_minute,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,quality_runtime_pareto_efficient,vsknn_k,vsknn_sample_size,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,epochs,window_days,decay_lambda,embedding_size
session,adressa_recbole_sample,VS-KNN,0.1225,0.3428,0.1735,,,659.7,10.995,0.0111414,91,0.561669,0.0956,False,100,500,,,,,,,,1,,,
session,adressa_recbole_sample,VSTAN,0.1604,0.4308,0.2229,,,698.26,11.6377,0.0137828,24,0.735442,0.0577,False,,,100,500,0.2,True,,,,1,,,
session,globo_recbole_sample,VS-KNN,0.0787,0.3597,0.1436,,,738.02,12.3003,0.0063982,33,0.527127,0.0706,False,500,500,,,,,,,,1,,,
session,globo_recbole_sample,VSTAN,0.0831,0.3644,0.1482,,,287.73,4.7955,0.0173287,19,0.556597,0.0662,False,,,200,500,0.2,False,,,,1,,,
session,yoochoose_recbole_sample,VS-KNN,0.2625,0.4987,0.3187,,,458.5,7.64167,0.0343511,52,0.946628,0.0148,False,200,500,,,,,,,,1,,,
session,yoochoose_recbole_sample,VSTAN,0.2773,0.5334,0.3384,,,541.25,9.02083,0.03074,1,1.0,0.0,True,,,200,500,0.2,True,,,,1,,,
