experiment_type,dataset,model,mrr@10,hit@10,ndcg@10,coverage@10,avg_recommendation_popularity@10,runtime_seconds,runtime_minutes,mrr@10_per_minute,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,quality_runtime_pareto_efficient,vsknn_k,vsknn_sample_size,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,epochs,window_days,decay_lambda,embedding_size
session,adressa_recbole_sample,GRU4Rec,0.2181,0.522,0.2892,,,26.18,0.436333,0.499847,1,1.0,0.0,True,,,,,,,256,0.001,0.1,20,,,
session,globo_recbole_sample,GRU4Rec,0.1493,0.3614,0.1988,,,27.36,0.456,0.327412,1,1.0,0.0,True,,,,,,,256,0.001,0.1,20,,,
session,yoochoose_recbole_sample,VSTAN,0.2773,0.5334,0.3384,,,541.25,9.02083,0.03074,1,1.0,0.0,True,,,200,500,0.2,True,,,,1,,,
topn,amazon_recbole,BPR,0.0519,0.0754,0.0573,0.466227,875.003,12903.1,215.051,0.000241338,1,1.0,0.0,True,,,,,,,,0.001,,50,,,128
topn,movielens_recbole,BPR,0.1546,0.3546,0.084,0.183735,26288.2,5134.07,85.5678,0.00180675,1,1.0,0.0,True,,,,,,,,0.0005,,50,,,32
