experiment_type,dataset,model,mrr@10,hit@10,ndcg@10,coverage@10,avg_recommendation_popularity@10,runtime_seconds,runtime_minutes,mrr@10_per_minute,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,quality_runtime_pareto_efficient,vsknn_k,vsknn_sample_size,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,epochs,window_days,decay_lambda,embedding_size
topn,amazon_recbole,DecayPop,0.01,0.026,0.0136,0.000154904,3197.87,1670.23,27.8372,0.000359232,11,0.192678,0.0419,True,,,,,,,,,,1,,5e-09,
topn,amazon_recbole,MostPop,0.0091,0.0236,0.0124,0.000154904,3421.47,1663.41,27.7235,0.000328241,15,0.175337,0.0428,False,,,,,,,,,,1,,,
topn,amazon_recbole,RecentPop,0.0034,0.0131,0.0055,0.000120481,818.464,1730.85,28.8475,0.000117861,18,0.0655106,0.0485,False,,,,,,,,,,1,180,,
topn,movielens_recbole,DecayPop,0.1065,0.251,0.0558,0.0134231,47055.3,423.75,7.0625,0.0150796,11,0.688875,0.0481,True,,,,,,,,,,1,,1e-09,
topn,movielens_recbole,MostPop,0.1062,0.2479,0.0555,0.0138718,47378.2,284.62,4.74367,0.0223877,12,0.686934,0.0484,True,,,,,,,,,,1,,,
topn,movielens_recbole,RecentPop,0.0776,0.1997,0.0395,0.00515984,31515,339.24,5.654,0.0137248,19,0.50194,0.077,False,,,,,,,,,,1,30,,
