dataset,model,best_unweighted_mrr@10,best_weighted_mrr@10,delta_mrr@10_weighted_minus_unweighted,weighted_improves_mrr@10,best_unweighted_hit@10,best_weighted_hit@10,delta_hit@10_weighted_minus_unweighted,best_unweighted_ndcg@10,best_weighted_ndcg@10,delta_ndcg@10_weighted_minus_unweighted,best_weighted_popularity_weight,best_unweighted_runtime_seconds,best_weighted_runtime_seconds,best_unweighted_config,best_weighted_config
adressa_recbole_sample,VS-KNN,0.1497,0.0858,-0.0639,False,0.4237,0.1932,-0.2305,0.2132,0.1106,-0.1026,0.5,3081.12,3067.49,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}","{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 500}"
adressa_recbole_sample,VSTAN,0.1619,0.0966,-0.06529999999999998,False,0.4204,0.2226,-0.1978,0.2221,0.1255,-0.09659999999999999,0.5,2795.94,2841.16,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}","{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
globo_recbole_sample,VS-KNN,0.0555,0.0241,-0.0314,False,0.2375,0.114,-0.12349999999999998,0.0977,0.0448,-0.052899999999999996,0.5,990.2,352.73,"{""vsknn_k"": 500, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}","{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 500}"
globo_recbole_sample,VSTAN,0.0563,0.0278,-0.028500000000000004,False,0.2361,0.1272,-0.1089,0.0981,0.0508,-0.04730000000000001,0.5,340.12,1270.37,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}","{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
yoochoose_recbole_sample,VS-KNN,0.2554,0.2477,-0.007700000000000012,False,0.4639,0.445,-0.018899999999999972,0.3053,0.2948,-0.01050000000000001,0.5,263.49,580.15,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}","{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 500}"
yoochoose_recbole_sample,VSTAN,0.2676,0.2601,-0.007500000000000007,False,0.4915,0.4596,-0.031899999999999984,0.3211,0.308,-0.0131,0.5,1799.55,2198.43,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}","{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
