dataset,model,max_item_list_length,device,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,unique_recommended_items@10,catalogue_size,recommendation_count,extra_metrics_runtime_seconds,runtime_seconds,config_json,status,error
adressa_recbole_sample,GRU4Rec,10,cpu,0.3516,0.5187,0.2334,0.2872,0.1945,0.2166,0.1225133430373605,5822.672156935895,505,4122,643320,1.36,591.53,"{""MAX_ITEM_LIST_LENGTH"": 10, ""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,
adressa_recbole_sample,GRU4Rec,20,cpu,0.352,0.5191,0.2326,0.2864,0.1933,0.2154,0.1273653566229985,5753.365615867687,525,4122,643320,2.61,1199.84,"{""MAX_ITEM_LIST_LENGTH"": 20, ""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,
adressa_recbole_sample,GRU4Rec,50,cpu,0.3519,0.5188,0.2328,0.2864,0.1936,0.2156,0.1280931586608442,5833.353932723994,528,4122,643320,6.11,2954.05,"{""MAX_ITEM_LIST_LENGTH"": 50, ""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,
adressa_recbole_sample,VS-KNN,10,cpu,0.3054,0.4524,0.1942,0.2414,0.1578,0.1771,0.2091217855409995,6990.581004787664,862,4122,643320,79.95,227.7,"{""MAX_ITEM_LIST_LENGTH"": 10, ""neighbor_size"": 200, ""sample_size"": 500, ""sampling"": ""recent"", ""score_weighting"": ""div"", ""session_weighting"": ""div"", ""similarity"": ""vec""}",success,
adressa_recbole_sample,VS-KNN,20,cpu,0.2885,0.4313,0.1853,0.2312,0.1515,0.1703,0.1974769529354682,7249.357731766461,814,4122,643320,84.13,234.08,"{""MAX_ITEM_LIST_LENGTH"": 20, ""neighbor_size"": 200, ""sample_size"": 500, ""sampling"": ""recent"", ""score_weighting"": ""div"", ""session_weighting"": ""div"", ""similarity"": ""vec""}",success,
adressa_recbole_sample,VS-KNN,50,cpu,0.2858,0.4288,0.1838,0.2298,0.1504,0.1693,0.19723435225618632,7277.910452030093,813,4122,643320,84.0,235.24,"{""MAX_ITEM_LIST_LENGTH"": 50, ""neighbor_size"": 200, ""sample_size"": 500, ""sampling"": ""recent"", ""score_weighting"": ""div"", ""session_weighting"": ""div"", ""similarity"": ""vec""}",success,
