model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,status,error_message,runtime_seconds,config_json,logged_at,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args
VSTAN,globo_recbole_sample,cuda,1,2048,1024,57.99,120.1,119.58,,,0.1849,0.3455,0.0837,0.1358,0.0514,0.0729,0.5953503150982365,474.8287417388332,success,,304.94,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-19T23:39:05,100.0,250.0,0.1,True,,,,,,
VSTAN,globo_recbole_sample,cuda,1,2048,1024,57.58,120.12,117.23,,,0.1958,0.3514,0.0925,0.1428,0.0591,0.08,0.49160620664089394,540.7183326686418,success,,302.12,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-19T23:44:07,100.0,250.0,0.1,False,,,,,,
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,26.07,0.6,1.7,,,0.2077,0.3218,0.1328,0.1696,0.1083,0.1234,0.04178361489170153,624.0517633318141,success,,33.96,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-19T23:44:41,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,globo_recbole_sample,cuda,20,2048,2048,51.48,0.61,1.67,,,0.2407,0.3565,0.1585,0.1958,0.1316,0.1469,0.1540539109251708,541.3242379785779,success,,59.54,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-19T23:45:41,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,globo_recbole_sample,cuda,10,2048,2048,31.76,0.77,1.62,,,0.2118,0.3226,0.1354,0.171,0.1103,0.1249,0.050256844781019966,627.490690519599,success,,39.95,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-19T23:46:21,,,,,256.0,0.001,0.2,1.0,CE,
GRU4Rec,globo_recbole_sample,cuda,20,2048,2048,63.46,0.76,1.56,,,0.2431,0.3623,0.1608,0.1993,0.1339,0.1497,0.18890006884499286,523.8396607224248,success,,71.4,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-19T23:47:32,,,,,256.0,0.001,0.2,1.0,CE,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,253.81,345.31,345.39,50.0,250.0,0.2056,0.3322,0.1287,0.1693,0.1036,0.1202,0.23308270676691728,6166.624757507928,success,,952.2,"{""vsknn_k"": 50, ""vsknn_sample_size"": 250}",2026-05-20T00:03:24,,,,,,,,,,
VS-KNN,adressa_recbole_sample,cuda,1,2048,1024,294.14,403.16,388.05,100.0,250.0,0.2072,0.3402,0.1291,0.1718,0.1036,0.1211,0.200339558573854,6518.3811431325,success,,1092.72,"{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",2026-05-20T00:21:37,,,,,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,251.36,346.68,356.15,,,0.233,0.3751,0.1518,0.1975,0.1254,0.1441,0.4969682270191608,5401.186855686128,success,,961.47,"{""vstan_idf_weighting"": true, ""vstan_k"": 50, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-20T00:37:39,50.0,250.0,0.1,True,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,246.09,332.57,338.48,,,0.23,0.3716,0.1475,0.193,0.1207,0.1393,0.24035896192093137,6265.173568364111,success,,924.35,"{""vstan_idf_weighting"": false, ""vstan_k"": 50, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-20T00:53:03,50.0,250.0,0.1,False,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,301.32,418.08,423.82,,,0.2379,0.3915,0.1527,0.2021,0.1251,0.1453,0.3456221198156682,5971.884923521731,success,,1150.52,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-20T01:12:13,100.0,250.0,0.1,True,,,,,,
VSTAN,adressa_recbole_sample,cuda,1,2048,1024,302.54,419.06,421.9,,,0.2281,0.3767,0.1444,0.1921,0.1171,0.1366,0.20591802085859812,6635.388941739725,success,,1150.93,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-20T01:31:24,100.0,250.0,0.1,False,,,,,,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,20.49,0.48,1.55,,,0.3095,0.4786,0.2018,0.2562,0.1664,0.1887,0.04656803298569003,6268.758010010571,success,,27.98,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-20T01:31:52,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,adressa_recbole_sample,cuda,20,2048,2048,41.01,0.48,1.79,,,0.3499,0.5145,0.2305,0.2834,0.1913,0.213,0.10477807421780257,5766.455527575701,success,,48.96,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-20T01:32:41,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,adressa_recbole_sample,cuda,10,2048,2048,26.77,0.54,1.76,,,0.3108,0.4735,0.2011,0.2534,0.1651,0.1865,0.047780742178025706,6297.824718647019,success,,34.66,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-20T01:33:16,,,,,256.0,0.001,0.2,1.0,CE,
GRU4Rec,adressa_recbole_sample,cuda,20,2048,2048,52.52,0.39,1.37,,,0.3509,0.5174,0.2315,0.2851,0.1923,0.2143,0.1193305845258307,5829.539440713797,success,,60.15,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,,256.0,0.001,0.2,1.0,CE,
